title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment,ticker
PDF Solutions stock hits 52-week high at $42.42,https://www.investing.com/news/company-news/pdf-solutions-stock-hits-52week-high-at-4242-93CH-4618527,2026-04-16 14:39:05,['Company News'],"PDF Solutions Inc. (PDFS) stock reached a 52-week high of $42.42, marking a 140% return over the past year and a market capitalization of $1.67 billion. The company reported strong Q4 2025 earnings, exceeding analyst expectations, leading DA Davidson to raise its price target to $40. Despite robust revenue growth, InvestingPro analysis suggests the stock might be overvalued relative to its Fair Value.",https://i-invdn-com.investing.com/news/LYNXNPEC0Q0MJ_L.jpg,Investing.com,General,Investing.com,"[{'topic': 'earnings', 'relevance_score': '0.931730'}, {'topic': 'financial_markets', 'relevance_score': '0.821323'}, {'topic': 'technology', 'relevance_score': '0.725088'}]",0.13167,Neutral,"[{'ticker': 'PDFS', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.452014', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMD', 'relevance_score': '0.557234', 'ticker_sentiment_score': '0.035144', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.535582', 'ticker_sentiment_score': '0.031495', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.547455', 'ticker_sentiment_score': '0.016712', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.518632', 'ticker_sentiment_score': '0.048884', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Apple reports record use of recycled materials in 2025, offers discount on eligible recycled products",https://seekingalpha.com/news/4575731-apple-reports-record-use-of-recycled-materials-in-2025-offers-discount-on-eligible-recycled-products,2026-04-16 13:40:00,['Tiyashi Datta'],"Apple announced a record use of recycled materials across its products in 2025, according to its latest Environmental Progress Report. The company is also offering discounts on eligible recycled products like AirPods and other accessories when customers trade in old Apple products. This initiative aligns with Apple's environmental goals and encourages customers to participate in recycling efforts.",https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1705316992/image_1705316992.jpg?io=getty-c-w630,Seeking Alpha,General,Seeking Alpha,"[{'topic': 'earnings', 'relevance_score': '0.816546'}, {'topic': 'technology', 'relevance_score': '0.704485'}]",0.454101,Bullish,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.470170', 'ticker_sentiment_label': 'Bullish'}]",AAPL
Apple Shares Sold by Investment Firm,https://nationaltoday.com/us/ca/cupertino/news/2026/04/16/apple-shares-sold-by-investment-firm/,2026-04-16 13:10:59,[],"YHB Investment Advisors Inc. has decreased its stake in Apple Inc. by 2.9% in the fourth quarter of 2025, selling over 10,000 shares. Despite this reduction, Apple remains the firm's largest holding, making up 6.2% of its portfolio. This adjustment provides insight into broader investment trends concerning the influential tech giant.",https://nationaltoday.com/wp-content/uploads/not-wordpress/2026/04/69e0d6e95dbec.jpg,National Today,General,National Today,"[{'topic': 'financial_markets', 'relevance_score': '0.914412'}, {'topic': 'technology', 'relevance_score': '0.845164'}, {'topic': 'finance', 'relevance_score': '0.712036'}]",0.036367,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.971376', 'ticker_sentiment_score': '0.027562', 'ticker_sentiment_label': 'Neutral'}]",AAPL
iShares MSCI World ETF: Kapitalflut treibt Hoch,https://www.boerse-global.de/ishares-msci-world-etf-kapitalflut-treibt-hoch/778368,2026-04-16 13:09:44,['Andreas Sommer'],"The iShares MSCI World ETF has reached a new 52-week high, propelled by significant capital inflows and high trading volumes, with its performance largely driven by US technology stocks. The ETF saw substantial daily inflows and increased trading volume, indicating strong buying interest, despite potential short-term overheating. Its portfolio is dominated by US tech giants, with BlackRock's recent quarterly figures confirming a broader trend towards liquid, diversified products like the MSCI World ETF.",https://www-boerse-global-de.b-cdn.net/wp-content/uploads/ai-imgs/US4642863926-2026-04-16-15-10-40.png,Börse Global,General,Börse Global,"[{'topic': 'financial_markets', 'relevance_score': '0.929199'}, {'topic': 'earnings', 'relevance_score': '0.842525'}, {'topic': 'technology', 'relevance_score': '0.719665'}]",0.358622,Bullish,"[{'ticker': 'URTH', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.453773', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.885329', 'ticker_sentiment_score': '0.341755', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.710628', 'ticker_sentiment_score': '0.336406', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.680073', 'ticker_sentiment_score': '0.341359', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.622541', 'ticker_sentiment_score': '0.300523', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
Arm in focus as Susquehanna ups price target ahead of earnings (ARM:NASDAQ),https://seekingalpha.com/news/4575687-arm-in-focus-as-susquehanna-ups-price-target-ahead-of-earnings,2026-04-16 13:09:02,['Chris Ciaccia'],"Susquehanna has increased its price target for Arm Holdings (ARM) ahead of the British semiconductor firm's fourth-quarter earnings report, scheduled for May 6. Arm shares were largely unchanged in premarket trading following the news.",https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1210930611/image_1210930611.jpg?io=getty-c-w630,Seeking Alpha,General,Seeking Alpha,"[{'topic': 'earnings', 'relevance_score': '0.932038'}, {'topic': 'financial_markets', 'relevance_score': '0.826619'}, {'topic': 'technology', 'relevance_score': '0.733110'}]",0.246172,Somewhat-Bullish,"[{'ticker': 'ARM', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.407536', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.629348', 'ticker_sentiment_score': '0.128682', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.646769', 'ticker_sentiment_score': '0.117288', 'ticker_sentiment_label': 'Neutral'}]",AAPL
JPMorgan downgrades Qualcomm stock rating on datacenter concerns,https://www.investing.com/news/analyst-ratings/jpmorgan-downgrades-qualcomm-stock-rating-on-datacenter-concerns-93CH-4618128,2026-04-16 12:48:31,['Investing.com'],"JPMorgan downgraded Qualcomm (NASDAQ:QCOM) from Overweight to Neutral and reduced its price target due to rising competition in the datacenter market and near-term challenges in the smartphone sector. The firm cited recent announcements from Arm and Nvidia for increasing competitive pressure but noted that InvestingPro analysis still considers Qualcomm undervalued. Despite these headwinds, Qualcomm recently announced a $20 billion share buyback and increased its quarterly dividend.",https://i-invdn-com.investing.com/news/news_headline_rolled_69x52._800x533_L_1419494221.jpg,Investing.com,General,Investing.com,"[{'topic': 'earnings', 'relevance_score': '0.947628'}, {'topic': 'technology', 'relevance_score': '0.803433'}, {'topic': 'financial_markets', 'relevance_score': '0.709855'}]",-0.172803,Somewhat-Bearish,"[{'ticker': 'QCOM', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.399513', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.609854', 'ticker_sentiment_score': '0.135773', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.722320', 'ticker_sentiment_score': '-0.201794', 'ticker_sentiment_label': 'Somewhat-Bearish'}]",AAPL
"Kanzhun repurchases 349,516 shares for over RMB17 million By Investing.com",https://ca.investing.com/news/company-news/kanzhun-repurchases-349516-shares-for-over-rmb17-million-93CH-4568326,2026-04-16 10:40:25,[],"Kanzhun Limited recently repurchased 349,516 ordinary shares for over RMB17.0 million, continuing its ongoing share repurchase program. The company has spent nearly RMB880 million on buybacks since early 2026, despite its shares declining by 38% in the last six months. Kanzhun, operator of the BOSS Zhipin platform, maintains a ""GREAT"" financial health score and reported strong Q4 results, though Q1 revenue guidance missed expectations.",https://i-invdn-com.investing.com/news/LYNXNPEB66095_L.jpg,Investing.com Canada,General,Investing.com Canada,"[{'topic': 'earnings', 'relevance_score': '0.928758'}, {'topic': 'financial_markets', 'relevance_score': '0.839496'}]",-0.324203,Somewhat-Bearish,"[{'ticker': 'BZ', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.285826', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AVGO', 'relevance_score': '0.587770', 'ticker_sentiment_score': '-0.502113', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'AAPL', 'relevance_score': '0.562581', 'ticker_sentiment_score': '-0.513465', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'TSLA', 'relevance_score': '0.556293', 'ticker_sentiment_score': '-0.547164', 'ticker_sentiment_label': 'Bearish'}]",AAPL
"Taiwan's chipmaker TSMC reports 58% jump in profit, warns about Iran war impacts",https://www.daytondailynews.com/nation-world/taiwans-chipmaker-tsmc-reports-58-jump-in-profit-warns-about-iran-war-impacts/article_327d1226-6eff-5237-974a-3d0191013a78.html,2026-04-16 10:18:53,['CHAN HO-HIM'],"Taiwan Semiconductor Manufacturing Corp. (TSMC) reported a significant 58% increase in profit for the January-March quarter, driven by strong demand for specialized chips used in artificial intelligence. Despite this growth, the company warned of potential disruptions and rising costs due to the ongoing Iran war, which could impact the global supply chain for critical chipmaking chemicals and gases. TSMC plans substantial investments to expand its manufacturing capacity, reflecting its confidence in the long-term AI market.",https://bloximages.chicago2.vip.townnews.com/daytondailynews.com/content/tncms/assets/v3/editorial/7/4e/74ead8dc-0206-5f08-8162-04ef2c2afe43/69e0b7cc63d41.image.jpg?resize=1763%2C1176,Dayton Daily News,General,Dayton Daily News,"[{'topic': 'earnings', 'relevance_score': '0.933689'}, {'topic': 'technology', 'relevance_score': '0.800287'}, {'topic': 'manufacturing', 'relevance_score': '0.717380'}]",0.319424,Somewhat-Bullish,"[{'ticker': 'TSM', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.445268', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.721329', 'ticker_sentiment_score': '0.335021', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.736366', 'ticker_sentiment_score': '0.313920', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMAT', 'relevance_score': '0.645589', 'ticker_sentiment_score': '0.218652', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LRCX', 'relevance_score': '0.618395', 'ticker_sentiment_score': '0.230531', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
What's Behind The Jump In Nike Stock?,https://www.sahmcapital.com/news/content/whats-behind-the-jump-in-nike-stock-2026-04-15,2026-04-16 10:08:17,['Benzinga News'],"Shares of Nike (NKE) are trading higher after SEC filings revealed that Apple CEO Tim Cook and Nike CEO Elliott Hill both purchased Nike stock. Insider buying is often seen as a bullish signal, indicating executive confidence in the company's outlook and potential undervaluation. Despite current trading below key averages, analysts see the insider buying as a positive sign.",,Sahm,General,Sahm,"[{'topic': 'financial_markets', 'relevance_score': '0.917497'}, {'topic': 'retail_wholesale', 'relevance_score': '0.718531'}]",0.471623,Bullish,"[{'ticker': 'NKE', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.527253', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.717452', 'ticker_sentiment_score': '0.422937', 'ticker_sentiment_label': 'Bullish'}]",AAPL
Should State Street SPDR MSCI USA StrategicFactors ETF (QUS) Be on Your Investing Radar?,https://finance.yahoo.com/markets/stocks/articles/state-street-spdr-msci-usa-102001091.html,2026-04-16 10:08:06,['Zacks Equity Research'],"The State Street SPDR MSCI USA StrategicFactors ETF (QUS) is a passively managed fund providing exposure to the Large Cap Blend segment of the US equity market, launched in April 2015. With over $1.43 billion in assets and a low expense ratio of 0.15%, it primarily allocates to the Information Technology sector. QUS has shown a 2.55% return year-to-date and 20.19% over the past year, making it a medium-risk option for long-term investors.",,Yahoo Finance,General,Yahoo Finance,"[{'topic': 'financial_markets', 'relevance_score': '0.931523'}, {'topic': 'finance', 'relevance_score': '0.833761'}]",0.345359,Somewhat-Bullish,"[{'ticker': 'MSCI', 'relevance_score': '0.711108', 'ticker_sentiment_score': '0.322280', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.728393', 'ticker_sentiment_score': '0.319043', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.601321', 'ticker_sentiment_score': '0.310746', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.611569', 'ticker_sentiment_score': '0.309445', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
